case_id,track_id,selected_feature,grouped_shap_value
case_005,4iAZLrr85pfvQWlBeqqrNt,tempo_danceability,0.15086854994297028
case_005,4iAZLrr85pfvQWlBeqqrNt,danceability_valence,0.1391078680753708
case_005,4iAZLrr85pfvQWlBeqqrNt,valence,0.13342900574207306
case_005,4iAZLrr85pfvQWlBeqqrNt,duration_min,0.1316291093826294
case_005,4iAZLrr85pfvQWlBeqqrNt,speechiness_explicit,-0.12984789907932281
case_005,4iAZLrr85pfvQWlBeqqrNt,instrumentalness,-0.07947976887226105
case_005,4iAZLrr85pfvQWlBeqqrNt,key,-0.01534338854253292
case_005,4iAZLrr85pfvQWlBeqqrNt,time_signature,0.09619668845880369
case_005,4iAZLrr85pfvQWlBeqqrNt,energy,-0.050202976912260056
case_005,4iAZLrr85pfvQWlBeqqrNt,release_precision,0.06381996534764767
case_005,4iAZLrr85pfvQWlBeqqrNt,energy_liveness,-0.032320816069841385
case_005,4iAZLrr85pfvQWlBeqqrNt,energy_valence,0.031073197722434998
case_005,4iAZLrr85pfvQWlBeqqrNt,loudness,0.029385529458522797
case_005,4iAZLrr85pfvQWlBeqqrNt,speechiness,0.0177407655864954
case_005,4iAZLrr85pfvQWlBeqqrNt,explicit,-0.012566820690381064
case_005,4iAZLrr85pfvQWlBeqqrNt,acousticness_instrumentalness,-0.012517634779214859
case_005,4iAZLrr85pfvQWlBeqqrNt,duration_log,0.008653239347040653
case_005,4iAZLrr85pfvQWlBeqqrNt,duration_squared,-0.0022769873030483723
case_006,770z0pY7gsBPNPI4jr6oFN,release_year,11.407679557800293
case_006,770z0pY7gsBPNPI4jr6oFN,speechiness_explicit,3.8760392665863037
case_006,770z0pY7gsBPNPI4jr6oFN,release_month,-2.1081156730651855
case_006,770z0pY7gsBPNPI4jr6oFN,acousticness,1.0737806558609009
case_006,770z0pY7gsBPNPI4jr6oFN,danceability,0.8245186805725098
case_006,770z0pY7gsBPNPI4jr6oFN,decade,0.7766124606132507
case_006,770z0pY7gsBPNPI4jr6oFN,tempo,0.6796277761459351
case_006,770z0pY7gsBPNPI4jr6oFN,explicit,0.5207165299216285
case_006,770z0pY7gsBPNPI4jr6oFN,energy_danceability,0.40367627143859863
case_006,770z0pY7gsBPNPI4jr6oFN,duration_min,0.3484567105770111
case_006,770z0pY7gsBPNPI4jr6oFN,loudness_energy,0.3239738941192627
case_006,770z0pY7gsBPNPI4jr6oFN,year_in_decade,-0.30112990736961365
case_006,770z0pY7gsBPNPI4jr6oFN,liveness,-0.27906110882759094
case_006,770z0pY7gsBPNPI4jr6oFN,release_month_sin,-0.2661658823490143
case_006,770z0pY7gsBPNPI4jr6oFN,speechiness,-0.2427525669336319
case_006,770z0pY7gsBPNPI4jr6oFN,key,-0.2841151134343818
case_006,770z0pY7gsBPNPI4jr6oFN,release_precision,0.2852501003071666
case_006,770z0pY7gsBPNPI4jr6oFN,release_month_cos,-0.19657891988754272
case_006,770z0pY7gsBPNPI4jr6oFN,energy_valence,0.1533128172159195
case_006,770z0pY7gsBPNPI4jr6oFN,loudness,0.13169899582862854
case_006,770z0pY7gsBPNPI4jr6oFN,mode,0.14019904751330614
case_006,770z0pY7gsBPNPI4jr6oFN,tempo_danceability,0.08832534402608871
case_006,770z0pY7gsBPNPI4jr6oFN,energy_liveness,-0.04428497701883316
case_006,770z0pY7gsBPNPI4jr6oFN,instrumentalness,-0.04138137772679329
case_006,770z0pY7gsBPNPI4jr6oFN,acousticness_instrumentalness,0.03730439394712448
case_006,770z0pY7gsBPNPI4jr6oFN,valence,0.03457976132631302
case_006,770z0pY7gsBPNPI4jr6oFN,time_signature,0.059553507417149376
case_006,770z0pY7gsBPNPI4jr6oFN,energy,-0.029560165479779243
case_006,770z0pY7gsBPNPI4jr6oFN,danceability_valence,0.027718165889382362
case_006,770z0pY7gsBPNPI4jr6oFN,duration_log,0.012143516913056374
case_006,770z0pY7gsBPNPI4jr6oFN,duration_squared,-0.0005987609038129449
case_007,3Ofmpyhv5UAQ70mENzB277,release_year,10.637310981750488
case_007,3Ofmpyhv5UAQ70mENzB277,duration_min,-4.155341148376465
case_007,3Ofmpyhv5UAQ70mENzB277,decade,0.8657847046852112
case_007,3Ofmpyhv5UAQ70mENzB277,acousticness,0.7855945825576782
case_007,3Ofmpyhv5UAQ70mENzB277,release_month,-0.699350118637085
case_007,3Ofmpyhv5UAQ70mENzB277,danceability,0.6578864455223083
case_007,3Ofmpyhv5UAQ70mENzB277,tempo,-0.6220451593399048
case_007,3Ofmpyhv5UAQ70mENzB277,duration_log,-0.469969242811203
case_007,3Ofmpyhv5UAQ70mENzB277,mode,-0.38104649633169174
case_007,3Ofmpyhv5UAQ70mENzB277,speechiness,-0.33934417366981506
case_007,3Ofmpyhv5UAQ70mENzB277,tempo_danceability,0.27812761068344116
case_007,3Ofmpyhv5UAQ70mENzB277,release_month_sin,-0.25341203808784485
